,precision,recall,f1-score,support
glioma,0.9680365296803652,0.8346456692913385,0.8964059196617337,254.0
meningioma,0.8620689655172413,0.8986928104575164,0.88,306.0
no_tumor,0.9271523178807947,1.0,0.9621993127147767,140.0
pituitary,0.9485530546623794,0.9833333333333333,0.9656301145662848,300.0
accuracy,0.922,0.922,0.922,0.922
macro avg,0.9264527169351952,0.929167953270547,0.9260588367356988,1000.0
weighted avg,0.9240416228891138,0.922,0.9213640417440346,1000.0
