,precision,recall,f1-score,support
glioma,0.9826589595375722,0.6692913385826772,0.7962529274004684,254.0
meningioma,0.7380191693290735,0.7549019607843137,0.7463651050080775,306.0
no_tumor,0.7637362637362637,0.9928571428571429,0.8633540372670807,140.0
pituitary,0.891566265060241,0.9866666666666667,0.9367088607594937,300.0
accuracy,0.836,0.836,0.836,0.836
macro avg,0.8439951644157876,0.8509292772227002,0.83567023260878,1000.0
weighted avg,0.849822197978389,0.836,0.83251818913743,1000.0
