,precision,recall,f1-score,support
glioma,0.9623430962343096,0.905511811023622,0.9330628803245437,254.0
meningioma,0.9078947368421053,0.9019607843137255,0.9049180327868852,306.0
no_tumor,0.9395973154362416,1.0,0.9688581314878892,140.0
pituitary,0.9577922077922078,0.9833333333333333,0.9703947368421053,300.0
accuracy,0.941,0.941,0.941,0.941
macro avg,0.9419068390762161,0.9477014821676703,0.9443084453603559,1000.0
weighted avg,0.941132222415935,0.941,0.9406614490961572,1000.0
