,precision,recall,f1-score,support
glioma,0.9166666666666666,0.7362204724409449,0.8165938864628821,254.0
meningioma,0.6582278481012658,0.6797385620915033,0.6688102893890675,306.0
no_tumor,0.693069306930693,1.0,0.8187134502923976,140.0
pituitary,0.9172661870503597,0.85,0.8823529411764706,300.0
accuracy,0.79,0.79,0.79,0.79
macro avg,0.7963075021872463,0.816489758633112,0.7966176418302044,1000.0
weighted avg,0.8064606139377256,0.79,0.7913965611085034,1000.0
