epoch,phase,train_loss,train_acc,val_loss,val_acc
1,1,1.0226,65.95,0.7407,79.30
2,1,0.5666,80.03,0.6750,75.30
3,1,0.5059,81.83,0.5861,78.70
4,1,0.4327,83.78,0.4576,83.00
5,1,0.4243,84.47,0.3846,86.90
6,1,0.4269,84.25,0.3304,87.80
7,1,0.3824,85.78,0.3164,88.70
8,1,0.3912,85.33,0.3003,88.20
9,1,0.3773,85.50,0.2996,88.50
10,1,0.3562,86.65,0.3146,88.30
11,1,0.3595,86.55,0.3088,87.80
12,1,0.3412,87.03,0.2910,88.50
