epoch,phase,train_loss,train_acc,val_loss,val_acc
25,2,0.0143,99.85,0.1675,94.60
26,2,0.0158,99.70,0.2314,93.60
27,2,0.0605,97.78,0.1929,93.90
28,2,0.0506,98.35,0.1575,94.30
29,2,0.0402,98.62,0.1617,94.30
30,2,0.0332,98.92,0.1471,95.20
