epoch,phase,train_loss,train_acc,val_loss,val_acc
19,1,0.4094,84.85,0.2442,90.70
20,1,0.3269,87.33,0.2321,91.90
21,1,0.3093,88.95,0.2458,90.40
22,1,0.2956,88.90,0.2289,91.90
23,1,0.3170,88.17,0.2766,89.80
24,1,0.2952,88.90,0.2416,92.10
25,1,0.2868,88.75,0.2782,88.30
